order_id,customer_id,ship_mode,vendor_id,order_status,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
CA-2014-106572,NP-18700,Standard Class,VEN02,delivered,12-2-17 5:05 PM,12-2-17 5:15 PM,12-5-17 7:22 PM,12-15-17 3:42 PM,20-12-2017
CA-2014-106719,RB-19645,Same Day,VEN01,delivered,9-13-17 12:16 PM,9-13-17 2:27 PM,9-15-17 8:41 PM,10-6-17 4:45 PM,10-10-2017
CA-2014-106726,RS-19765,First Class,VEN05,delivered,1-5-18 9:27 AM,1-5-18 9:39 AM,1-10-18 8:18 PM,1-16-18 5:03 PM,30-01-2018
CA-2014-106803,DC-13285,Standard Class,VEN02,delivered,4-9-17 4:59 PM,4-10-17 5:02 PM,4-12-17 12:35 PM,4-18-17 2:51 PM,02-05-2017
CA-2014-106810,AJ-10795,Standard Class,VEN03,delivered,7-11-18 5:22 PM,7-11-18 5:35 PM,7-12-18 4:19 PM,7-13-18 8:56 PM,23-07-2018
CA-2014-106971,BM-11785,Standard Class,VEN03,delivered,8-30-17 5:49 PM,8-30-17 6:07 PM,8-31-17 2:26 PM,9-6-17 10:42 PM,21-09-2017
CA-2014-107139,DP-13390,Standard Class,VEN04,delivered,2-27-18 9:50 AM,3-1-18 2:35 AM,3-1-18 8:12 PM,3-19-18 3:56 PM,26-03-2018
CA-2014-107153,GZ-14545,Standard Class,VEN04,delivered,5-1-17 9:54 AM,5-1-17 10:05 AM,5-2-17 4:26 PM,5-4-17 2:46 PM,23-05-2017
CA-2014-107181,DB-13270,Standard Class,VEN03,delivered,3-9-18 1:32 AM,3-13-18 4:10 AM,3-13-18 4:12 PM,3-23-18 5:21 PM,05-04-2018
CA-2014-107398,BS-11590,Standard Class,VEN03,delivered,12-18-17 6:12 PM,12-20-17 7:18 AM,12-20-17 8:42 PM,12-30-17 12:41 PM,12-01-2018
CA-2014-107454,RD-19720,Standard Class,VEN02,delivered,8-8-17 9:55 AM,8-9-17 2:55 AM,8-10-17 4:40 PM,8-14-17 5:47 PM,28-08-2017
CA-2014-107524,KN-16705,Standard Class,VEN03,delivered,8-1-18 5:03 PM,8-1-18 5:15 PM,8-2-18 1:47 PM,8-3-18 8:18 PM,06-08-2018
CA-2014-107573,PB-19150,Standard Class,VEN01,delivered,6-29-17 8:05 PM,7-1-17 4:55 AM,7-4-17 3:23 PM,7-12-17 6:41 PM,21-07-2017
CA-2014-107594,EH-13945,Standard Class,VEN04,delivered,5-10-18 12:07 PM,5-11-18 9:10 AM,5-16-18 2:39 PM,6-5-18 3:33 PM,05-06-2018
CA-2014-107706,ST-20530,Second Class,VEN04,delivered,10-20-17 8:55 PM,10-21-17 3:06 AM,10-23-17 11:33 PM,10-31-17 10:12 PM,09-11-2017
CA-2014-107755,CK-12760,Standard Class,VEN05,delivered,4-4-18 8:17 AM,4-6-18 3:15 AM,4-7-18 12:56 AM,4-14-18 5:12 PM,27-04-2018
CA-2014-107769,BT-11395,Standard Class,VEN01,delivered,4-14-18 3:12 PM,4-14-18 3:32 PM,4-17-18 6:42 PM,4-21-18 5:48 PM,03-05-2018
CA-2014-107811,LA-16780,Standard Class,VEN02,delivered,11-17-17 1:15 PM,11-18-17 1:45 PM,11-21-17 6:32 PM,11-30-17 6:17 PM,07-12-2017
CA-2014-107818,MC-17275,Standard Class,VEN04,delivered,5-1-18 1:30 PM,5-1-18 1:50 PM,5-2-18 10:19 AM,5-10-18 8:44 PM,25-05-2018
CA-2014-107916,JP-15460,First Class,VEN02,delivered,2-3-17 8:30 PM,2-3-17 8:45 PM,2-8-17 11:05 AM,2-20-17 11:43 AM,17-03-2017
CA-2014-108147,RD-19480,Standard Class,VEN02,delivered,2-22-18 4:21 PM,2-22-18 4:35 PM,2-26-18 9:16 PM,3-13-18 5:49 PM,16-03-2018
CA-2014-108182,DL-13315,Second Class,VEN05,delivered,10-9-17 7:29 PM,10-9-17 7:42 PM,10-11-17 1:43 PM,10-24-17 5:59 PM,31-10-2017
CA-2014-108189,ES-14080,First Class,VEN04,delivered,11-24-17 9:13 PM,11-24-17 11:59 PM,11-29-17 5:38 PM,12-11-17 12:48 PM,19-12-2017
CA-2014-108273,EJ-13720,Standard Class,VEN05,shipped,6-28-18 12:52 PM,6-28-18 1:11 PM,7-4-18 3:20 PM,,03-08-2018
CA-2014-108609,AJ-10780,Second Class,VEN02,delivered,12-10-17 2:05 PM,12-10-17 2:14 PM,12-11-17 7:58 PM,12-22-17 4:07 PM,12-01-2018
CA-2014-108707,DB-12910,Standard Class,VEN03,delivered,11-18-17 12:48 PM,11-18-17 1:55 PM,11-27-17 12:53 PM,11-29-17 7:32 PM,07-12-2017
CA-2014-108861,MM-17260,Standard Class,VEN05,delivered,9-20-17 3:29 PM,9-21-17 3:04 AM,9-22-17 4:03 PM,9-27-17 9:42 PM,05-10-2017
CA-2014-108903,DO-13435,Same Day,VEN01,delivered,10-10-17 8:53 AM,10-10-17 9:14 AM,10-10-17 3:58 PM,10-16-17 11:11 PM,23-10-2017
CA-2014-109043,CS-12355,First Class,VEN04,delivered,8-3-18 8:48 PM,8-3-18 9:04 PM,8-13-18 11:13 AM,8-22-18 12:51 AM,29-08-2018
CA-2014-109127,JC-15775,Standard Class,VEN02,delivered,7-26-18 7:16 AM,7-28-18 2:45 AM,7-30-18 2:26 PM,7-31-18 4:16 PM,03-08-2018
CA-2014-109134,DE-13255,Standard Class,VEN05,delivered,7-13-17 4:00 PM,7-14-17 2:24 AM,7-20-17 10:07 PM,7-22-17 4:12 PM,01-08-2017
CA-2014-109218,AR-10825,Second Class,VEN04,delivered,2-15-18 5:10 AM,2-15-18 6:15 AM,2-16-18 8:41 PM,2-20-18 10:45 PM,07-03-2018
CA-2014-109232,ND-18370,Second Class,VEN03,delivered,11-12-17 5:50 PM,11-12-17 6:07 PM,11-21-17 4:46 PM,11-30-17 11:44 PM,08-12-2017
CA-2014-109302,CS-12175,Standard Class,VEN02,delivered,8-22-18 9:42 AM,8-22-18 9:55 AM,8-22-18 2:10 PM,8-29-18 12:46 AM,10-09-2018
CA-2014-109491,LC-16930,Standard Class,VEN03,delivered,8-12-17 10:28 AM,8-12-17 10:45 AM,8-15-17 4:57 PM,8-18-17 5:53 PM,01-09-2017
CA-2014-109680,VP-21760,First Class,VEN05,delivered,5-13-18 5:29 PM,5-13-18 5:52 PM,5-17-18 3:06 PM,5-22-18 10:58 AM,05-06-2018
CA-2014-109855,LH-16900,Standard Class,VEN03,delivered,2-1-18 6:53 PM,2-1-18 8:53 PM,2-3-18 1:44 AM,2-21-18 7:17 PM,26-02-2018
CA-2014-109890,PG-18820,Standard Class,VEN04,delivered,7-8-17 12:23 PM,7-11-17 3:55 AM,7-13-17 12:03 PM,7-24-17 10:32 PM,01-08-2017
CA-2014-109897,BW-11200,Standard Class,VEN03,delivered,4-14-17 8:31 PM,4-14-17 8:42 PM,4-18-17 4:34 PM,5-8-17 11:42 AM,10-05-2017
CA-2014-109904,BF-10975,Second Class,VEN04,delivered,9-28-17 8:51 PM,9-28-17 9:14 PM,10-3-17 9:51 AM,10-11-17 7:37 PM,27-10-2017
CA-2014-109918,LR-17035,Second Class,VEN03,delivered,1-12-18 9:29 AM,1-12-18 9:42 AM,1-15-18 8:56 PM,1-23-18 2:37 PM,07-02-2018
CA-2014-109932,VP-21760,First Class,VEN01,delivered,1-24-18 10:49 AM,1-24-18 10:59 AM,1-29-18 6:32 PM,3-27-18 12:12 AM,22-02-2018
CA-2014-110030,LF-17185,Second Class,VEN02,delivered,7-27-17 11:29 PM,7-27-17 11:45 PM,7-31-17 5:27 PM,8-7-17 8:32 PM,22-08-2017
CA-2014-110065,SP-20650,Standard Class,VEN04,delivered,8-15-18 6:21 PM,8-15-18 6:35 PM,8-16-18 2:07 PM,8-24-18 3:48 PM,06-09-2018
CA-2014-110072,MG-17680,Standard Class,VEN01,canceled,3-5-18 10:57 PM,,,,21-03-2018
CA-2014-110100,LC-16885,Standard Class,VEN04,delivered,6-18-18 2:04 PM,6-18-18 2:19 PM,6-18-18 12:22 PM,6-25-18 10:08 PM,16-07-2018
CA-2014-110184,BF-11170,Standard Class,VEN02,delivered,8-11-18 12:07 PM,8-11-18 12:24 PM,8-13-18 3:06 PM,8-14-18 6:51 PM,17-08-2018
CA-2014-110219,EB-13870,First Class,VEN05,delivered,2-8-18 1:54 PM,2-8-18 2:10 PM,2-9-18 12:49 AM,2-16-18 12:28 PM,09-03-2018
CA-2014-110352,ED-13885,Standard Class,VEN05,delivered,5-23-18 10:01 PM,5-23-18 10:17 PM,5-24-18 2:10 PM,6-4-18 5:50 PM,21-06-2018
CA-2014-110408,AS-10225,Second Class,VEN05,delivered,6-8-17 10:49 AM,6-10-17 2:55 AM,6-12-17 9:00 AM,6-23-17 12:11 PM,07-07-2017
CA-2014-110422,TB-21400,Second Class,VEN01,delivered,3-10-17 11:45 AM,3-10-17 11:45 AM,3-10-17 1:44 PM,3-15-17 4:15 PM,29-03-2017
CA-2014-110527,ED-13885,Standard Class,VEN04,delivered,8-18-18 9:58 PM,8-20-18 10:50 AM,8-20-18 2:40 PM,8-29-18 10:04 PM,30-08-2018
CA-2014-110555,MM-18055,Standard Class,VEN02,delivered,6-11-18 3:38 PM,6-12-18 9:00 AM,6-12-18 3:05 PM,6-14-18 8:15 PM,26-06-2018
CA-2014-110611,JD-16015,Standard Class,VEN01,delivered,7-30-17 9:18 PM,7-30-17 9:36 PM,8-3-17 7:37 PM,8-10-17 5:37 PM,22-08-2017
CA-2014-110639,RH-19495,Same Day,VEN02,delivered,6-15-18 8:16 PM,6-15-18 8:41 PM,6-18-18 12:04 PM,6-26-18 7:14 PM,17-07-2018
CA-2014-110786,AJ-10795,Standard Class,VEN02,delivered,3-14-18 2:55 PM,3-14-18 3:49 PM,3-15-18 9:58 PM,3-21-18 2:02 PM,26-03-2018
CA-2014-110849,JL-15835,Standard Class,VEN04,delivered,6-26-18 10:31 PM,6-29-18 2:55 AM,7-4-18 1:21 PM,7-7-18 7:53 PM,25-07-2018
CA-2014-111003,CR-12625,Standard Class,VEN01,delivered,5-2-18 4:34 PM,5-4-18 3:52 AM,5-4-18 2:34 PM,5-11-18 8:06 PM,07-06-2018
CA-2014-111059,TB-21400,Second Class,VEN05,delivered,4-18-18 10:47 PM,4-18-18 11:11 PM,4-19-18 6:28 PM,4-24-18 1:08 AM,07-05-2018
CA-2014-111150,RW-19630,Standard Class,VEN05,delivered,6-19-17 9:58 PM,6-19-17 10:05 PM,6-21-17 1:28 PM,6-22-17 4:42 PM,30-06-2017
CA-2014-111157,NH-18610,Standard Class,VEN04,delivered,3-23-18 3:50 PM,3-23-18 4:08 PM,3-27-18 7:37 PM,4-2-18 1:18 PM,05-04-2018
CA-2014-111192,TS-21430,Standard Class,VEN05,delivered,4-14-17 11:42 AM,4-14-17 11:50 AM,4-18-17 2:51 PM,4-27-17 4:31 PM,12-05-2017
CA-2014-111360,AT-10435,Standard Class,VEN01,delivered,12-4-17 5:04 PM,12-4-17 5:46 PM,12-7-17 11:57 PM,12-14-17 4:43 PM,04-01-2018
CA-2014-111451,KL-16555,First Class,VEN04,delivered,2-15-17 1:44 PM,2-15-17 1:55 PM,2-16-17 1:18 PM,2-22-17 1:50 PM,16-03-2017
