product_id,product_name,colors,category,sub_category,date_added,manufacturer,merchants,product_name,sizes,upc,weight,product_photos_qty
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,White,Furniture,Bookcases,09-01-2017,New Balance,"[{""dateSeen"":[""2017-01-09T20:23:42Z""],""name"":""Apparelsave""}]","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","5.5,7,9.5,4,4.5,11.5,8",8.90E+11,,0
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Black,Furniture,Bookcases,22-01-2017,Kickers,"[{""dateSeen"":[""2017-01-22T06:20:45Z""],""name"":""Apparelsave""}]",Novimex Swivel Fabric Task Chair,7,8.48E+11,,0
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Blue,Furniture,Bookcases,04-03-2016,,"[{""dateSeen"":[""2016-02-27T00:00:00Z""],""name"":""Jalutek - Ebay.com""}]","Seth Thomas 13 1/2"" Wall Clock",12,8.85E+11,,1
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Blue,Furniture,Bookcases,08-06-2016,,"[{""dateSeen"":[""2016-06-08T05:31:13Z""],""name"":""Golfetail Inc""}]","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,31652192010,,0
FUR-BO-10002268,Sauder Barrister Bookcases,Blue,Furniture,Bookcases,02-02-2016,,,Hon Racetrack Conference Tables,,,,3
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Blue,Furniture,Bookcases,05-10-2016,Jordan,"[{""dateSeen"":[""2016-10-05T22:22:10Z""],""name"":""Apparelsave""}]",Bevis 44 x 96 Conference Tables,"10,10.5,11,11.5,12,13,14,8,8.5,9,9.5",8.87E+11,,0
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Blue,Furniture,Bookcases,02-01-2016,,,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,,,3
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Pink,Furniture,Bookcases,17-01-2017,RJ's Fuzzies,"[{""dateSeen"":[""2017-01-17T18:54:09Z""],""name"":""Big Deal Hunter""}]","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,8.50E+11,,2
FUR-BO-10002824,Bush Mission Pointe Library,Blue,Furniture,Bookcases,26-07-2016,,,"Seth Thomas 14"" Putty-Colored Wall Clock",,,,2
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Blue,Furniture,Bookcases,02-08-2016,Annie Shoes,"[{""dateSeen"":[""2016-08-02T08:28:06Z""],""name"":""Apparelsave""}]","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,8.89E+11,,2
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Pink,Furniture,Bookcases,15-01-2016,,,SAFCO Arco Folding Chair,,,,0
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Black,Furniture,Bookcases,16-11-2015,Qianyuyu,"[{""dateSeen"":[""2016-04-28T00:00:00Z""],""name"":""Yu Qian""}]","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",,,499 g,3
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Blue,Furniture,Bookcases,14-02-2016,,"[{""dateSeen"":[""2016-02-12T00:00:00Z""],""name"":""Savvy-lifestyle - Ebay.com""}]","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,8.85E+11,,5
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Blue,Furniture,Bookcases,17-01-2017,Okabashi,"[{""dateSeen"":[""2017-01-17T18:54:12Z""],""name"":""Big Deal Hunter""}]","Eldon 200 Class Desk Accessories, Burgundy","8 - 8.5,6.6 - 7.5",42929137740,,2
FUR-BO-10003433,Sauder Cornerstone Collection Library,Blue,Furniture,Bookcases,16-01-2017,MIA,"[{""dateSeen"":[""2017-01-16T19:30:28Z""],""name"":""Shoefabs""}]",O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,"6,6.5",8.88E+11,,0
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Blue,Furniture,Bookcases,30-01-2017,Crocs,"[{""dateSeen"":[""2017-01-30T04:12:13Z""],""name"":""Areatrend""}]",Bevis 36 x 72 Conference Tables,,8.87E+11,,2
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Pink,Furniture,Bookcases,01-04-2016,,"[{""dateSeen"":[""2016-03-31T00:00:00Z""],""name"":""Fh-athleticsfh-athletics - Ebay.com""}]",Bush Advantage Collection Round Conference Table,10,8.87E+11,,0
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Blue,Furniture,Bookcases,09-01-2017,,"[{""dateSeen"":[""2017-01-09T20:23:43Z""],""name"":""Shoenerds""}]",Bretford Rectangular Conference Table Tops,6,8.88E+11,,0
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Black,Furniture,Bookcases,25-01-2016,,,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",,,,0
FUR-BO-10003893,Sauder Camden County Collection Library,Pink,Furniture,Bookcases,01-04-2016,,"[{""dateSeen"":[""2016-04-07T00:00:00Z""],""name"":""Thepurseandtheplow - Ebay.com""}]",Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,,7.62E+11,,4
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Blue,Furniture,Bookcases,21-05-2016,,"[{""dateSeen"":[""2016-06-03T00:00:00Z""],""name"":""Redzonellc - Ebay.com""}]",Eldon 100 Class Desk Accessories,,8.87E+11,,0
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Blue,Furniture,Bookcases,07-11-2016,COSMAS JAVA,"[{""dateSeen"":[""2016-11-07T00:00:23Z""],""name"":""Zoro""}]",Eldon 100 Class Desk Accessories,,,,0
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Blue,Furniture,Bookcases,12-01-2017,Tod's,"[{""dateSeen"":[""2017-01-12T06:17:39Z""],""name"":""La Dolce Vitae, Inc.""}]","Bevis Round Bullnose 29"" High Table Top",,7.52E+11,,0
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Blue,Furniture,Bookcases,12-01-2017,Robert Wayne,"[{""dateSeen"":[""2017-01-12T06:20:55Z""],""name"":""Apparelsave""}]","Bush Westfield Collection Bookcases, Medium Cherry Finish","10.5,8.5,10,9.5,9,11.5,13,11,12",8.41E+11,,6
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Blue,Furniture,Bookcases,12-01-2017,Qupid,"[{""dateSeen"":[""2017-01-12T19:07:25Z""],""name"":""Apparelsave""}]","Howard Miller 13"" Diameter Goldtone Round Wall Clock","5.5,6,7,7.5,8",,,0
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,White,Furniture,Bookcases,08-06-2016,Dearfoams,"[{""dateSeen"":[""2016-06-08T05:32:00Z""],""name"":""Beltoutlet""}]",Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,,39161445658,,8
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Black,Furniture,Bookcases,09-01-2017,Hoka One One,"[{""dateSeen"":[""2017-01-09T19:45:30Z""],""name"":""Allsportswearusa""}]",BPI Conference Tables,,8.89E+11,,4
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Pink,Furniture,Bookcases,10-03-2016,,,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,,,,5
FUR-BO-10004467,Bestar Classic Bookcase,Blue,Furniture,Bookcases,19-03-2016,,"[{""dateSeen"":[""2016-03-19T02:01:17Z""],""name"":""Walmart.com""}]",C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,,8.45E+11,,3
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,White,Furniture,Bookcases,24-01-2017,,"[{""dateSeen"":[""2017-01-24T18:54:02Z""],""name"":""Brandshopper, Lp""}]",Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,,8.84E+11,,0
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Blue,Furniture,Bookcases,15-03-2016,,,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","7,9,10",,,0
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Blue,Furniture,Bookcases,16-11-2015,,"[{""dateSeen"":[""2015-11-16T16:23:06Z""],""name"":""Virtual Exchanges Inc""}]","Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",,8.10E+11,,2
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Pink,Furniture,Bookcases,15-11-2016,,"[{""dateSeen"":[""2016-11-15T13:15:27Z""],""name"":""Elevatit Llc""}]",DMI Arturo Collection Mission-style Design Wood Chair,10,8.88E+11,,0
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Blue,Furniture,Chairs,09-01-2017,,"[{""dateSeen"":[""2017-01-09T19:46:06Z""],""name"":""Shoenerds""}]",Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,"7,7.5,8.5,9,9.5",41969520161,,1
FUR-CH-10000155,Global Comet Stacking Armless Chair,Blue,Furniture,Chairs,23-03-2016,,"[{""dateSeen"":[""2016-03-24T00:00:00Z""],""name"":""Jger3004jger3004 - Ebay.com""}]",Hon 5100 Series Wood Tables,,7.74E+11,,0
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Blue,Furniture,Chairs,02-01-2016,,,Sauder Barrister Bookcases,"3X,XXL,S,L,M,XL",,,0
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Blue,Furniture,Chairs,23-01-2017,XOXO,"[{""dateSeen"":[""2017-01-23T05:26:44Z""],""name"":""Shoefabs""}]",Eldon Wave Desk Accessories,"10,7,6,9.5,6.5,7.5,9,8,11",7.56E+11,,0
FUR-CH-10000309,Global Comet Stacking Arm Chair,Black,Furniture,Chairs,02-12-2015,,,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,0
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Black,Furniture,Chairs,02-01-2016,,,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D","XS,S,M",,,0
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Pink,Furniture,Chairs,04-11-2016,,"[{""dateSeen"":[""2016-11-04T02:00:24Z""],""name"":""Walmart.com""}]","Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","10,7,6,9,8",6.64E+11,,2
FUR-CH-10000513,High-Back Leather Manager's Chair,Blue,Furniture,Chairs,17-05-2016,,,3M Hangers With Command Adhesive,,,,3
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Blue,Furniture,Chairs,27-01-2017,GameDay Boots,"[{""dateSeen"":[""2017-01-27T01:34:33Z""],""name"":""Trend Nation Llc""},{""dateSeen"":[""2017-01-27T01:34:33Z""],""name"":""Big Deal Hunter""},{""dateSeen"":[""2017-01-27T01:34:33Z""],""name"":""Viomart""}]","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,8.49E+11,5.0 lbs,0
FUR-CH-10000595,Safco Contoured Stacking Chairs,Pink,Furniture,Chairs,22-03-2016,,,"Bevis Round Conference Table Top, X-Base",,,,0
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Pink,Furniture,Chairs,02-02-2016,,,O'Sullivan 4-Shelf Bookcase in Odessa Pine,,,,5
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,White,Furniture,Chairs,01-08-2016,,"[{""dateSeen"":[""2016-08-02T00:00:00Z""],""name"":""Shopmaterialworld - Ebay.com""}]",Novimex High-Tech Fabric Mesh Task Chair,,6.58E+11,,2
FUR-CH-10000785,Global Ergonomic Managers Chair,Blue,Furniture,Chairs,07-11-2016,VALUE BRAND,"[{""dateSeen"":[""2016-11-07T00:45:48Z""],""name"":""Zoro""}]",Bevis Steel Folding Chairs,,,,2
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,White,Furniture,Chairs,11-03-2016,,,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black","6,7,8,9,10",,,6
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Blue,Furniture,Chairs,02-02-2016,,,Hon Multipurpose Stacking Arm Chairs,,,,4
FUR-CH-10000988,Hon Olson Stacker Stools,Black,Furniture,Chairs,20-01-2017,Dickies,"[{""dateSeen"":[""2017-01-20T18:57:18Z""],""name"":""Shoebacca Ltd.""}]",Coloredge Poster Frame,,8.47E+11,,3
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Blue,Furniture,Chairs,09-01-2017,Sanuk,"[{""dateSeen"":[""2017-01-09T20:23:59Z""],""name"":""Apparelsave""}]",Office Star - Ergonomically Designed Knee Chair,"10,7,9,8,11,12",7.37E+11,,3
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Black,Furniture,Chairs,23-04-2016,,"[{""dateSeen"":[""2016-04-23T16:05:45Z""],""name"":""Walmart Store""},{""dateSeen"":[""2016-04-23T16:05:45Z""],""name"":""Walmart.com""}]","GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs","10,7,6,9,8,11",8.05E+11,,5
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Pink,Furniture,Chairs,01-11-2016,Nike,"[{""dateSeen"":[""2016-11-01T09:39:50Z""],""name"":""Shoezoo""}]",Chromcraft Rectangular Conference Tables,,8.85E+11,,0
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Blue,Furniture,Chairs,09-11-2015,,,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,,,,0
FUR-CH-10001394,Global Leather Executive Chair,White,Furniture,Chairs,27-01-2017,Ugg,"[{""dateSeen"":[""2017-01-27T01:33:17Z""],""name"":""Shoes N Fashion""}]",Eldon Wave Desk Accessories,,8.89E+11,,4
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Blue,Furniture,Chairs,27-01-2017,Splendid,"[{""dateSeen"":[""2017-01-27T01:32:24Z""],""name"":""Apparelsave""}]",Bush Advantage Collection Racetrack Conference Table,9.5,8.87E+11,,0
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Blue,Furniture,Chairs,02-01-2016,,,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,,,,0
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Blue,Furniture,Chairs,02-01-2016,,,Bush Mission Pointe Library,,,,0
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Pink,Furniture,Chairs,30-01-2017,TOMS,"[{""dateSeen"":[""2017-01-30T04:12:05Z""],""name"":""Shoezoo""}]","Sauder Mission Library with Doors, Fruitwood Finish",,8.86E+11,,4
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Blue,Furniture,Chairs,02-01-2016,,,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,,,,0
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,White,Furniture,Chairs,10-04-2016,,,O'Sullivan Living Dimensions 2-Shelf Bookcases,,,,0
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Pink,Furniture,Chairs,14-01-2017,VANS,"[{""dateSeen"":[""2017-01-14T19:22:49Z""],""name"":""Brands R Us""}]",Balt Solid Wood Rectangular Table,,7.66E+11,,6
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Blue,Furniture,Chairs,05-10-2016,Stetson,"[{""dateSeen"":[""2016-10-05T16:56:42Z""],""name"":""Stand Up Ranchers""}]","Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",,52356289363,,0
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Blue,Furniture,Chairs,27-01-2017,H by Hudson,"[{""dateSeen"":[""2017-01-27T01:32:39Z""],""name"":""Apparelsave""},{""dateSeen"":[""2017-01-27T01:32:39Z""],""name"":""Discount Deals & More""}]",DMI Arturo Collection Mission-style Design Wood Chair,"10,7,6,9,8",,,0
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Pink,Furniture,Chairs,01-11-2016,Toms,"[{""dateSeen"":[""2016-11-01T09:42:36Z""],""name"":""Areatrend""}]",Deflect-O Glasstique Clear Desk Accessories,,8.41E+11,,0
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Black,Furniture,Chairs,02-01-2016,,,Balt Solid Wood Rectangular Table,,,,0
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Blue,Furniture,Chairs,09-01-2017,Easy Spirit,"[{""dateSeen"":[""2017-01-09T19:47:40Z""],""name"":""Apparelsave""}]","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",8.5,29021040932,,2
FUR-CH-10002073,Hon Olson Stacker Chairs,Blue,Furniture,Chairs,07-11-2015,,,Safco Contoured Stacking Chairs,"Medium,Large,Small",,,6
FUR-CH-10002084,Hon Mobius Operator's Chair,Black,Furniture,Chairs,02-01-2016,,,Tenex Chairmats For Use With Carpeted Floors,"10,6,18,8,16,14,12",,,2
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Pink,Furniture,Chairs,02-01-2016,,,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",,,,0
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Black,Furniture,Chairs,16-11-2015,SOFIAMORE,"[{""dateSeen"":[""2016-04-28T00:00:00Z""],""name"":""Amazon.ca""}]",HON 5400 Series Task Chairs for Big and Tall,,,499 g,0
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Blue,Furniture,Chairs,27-01-2016,,,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",,,,0
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Blue,Furniture,Chairs,14-02-2016,,"[{""dateSeen"":[""2016-02-09T00:00:00Z""],""name"":""456music - Ebay.com""}]",Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,,6.42E+11,,4
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Blue,Furniture,Chairs,30-03-2016,,,Coloredge Poster Frame,,,,0
FUR-CH-10002335,Hon GuestStacker Chair,Pink,Furniture,Chairs,12-01-2017,,"[{""dateSeen"":[""2017-01-12T06:20:06Z""],""name"":""Unbeatablesale""}]",Advantus Panel Wall Acrylic Frame,,,,5
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Pink,Furniture,Chairs,20-01-2017,,"[{""dateSeen"":[""2017-01-20T18:57:40Z""],""name"":""Gen X Clothing""}]",Hon Every-Day Series Multi-Task Chairs,,7.81E+11,,0
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Blue,Furniture,Chairs,05-10-2016,,"[{""dateSeen"":[""2016-10-05T16:43:00Z""],""name"":""Street Moda""}]",Novimex High-Tech Fabric Mesh Task Chair,,8.41E+11,,0
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Pink,Furniture,Chairs,15-03-2016,,,Dana Halogen Swing-Arm Architect Lamp,,8.82E+11,,4
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Blue,Furniture,Chairs,04-03-2016,,"[{""dateSeen"":[""2016-06-18T00:00:00Z""],""name"":""Karenqianyun - Ebay.com""}]","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",,7.39E+11,,0
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Blue,Furniture,Chairs,10-11-2016,Easy Spirit,"[{""dateSeen"":[""2016-11-10T09:17:56Z""],""name"":""Apparelsave""}]","DAX Metal Frame, Desktop, Stepped-Edge","8.5,7,6,9.5,6.5,7.5,9,8",29021334529,,2
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Pink,Furniture,Chairs,12-03-2016,,,"DAX Value U-Channel Document Frames, Easel Back",,,,0
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Blue,Furniture,Chairs,20-01-2017,,"[{""dateSeen"":[""2017-01-20T18:57:15Z""],""name"":""International Private Label Inc""}]","Seth Thomas 14"" Putty-Colored Wall Clock",,7.32E+11,,0
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Blue,Furniture,Chairs,18-01-2016,,,Office Star - Mesh Screen back chair with Vinyl seat,,,,0
FUR-CH-10002961,"Leather Task Chair, Black",Black,Furniture,Chairs,11-11-2016,Naturalizer,"[{""dateSeen"":[""2016-11-11T09:47:17Z""],""name"":""Bhfo, Inc.""}]",Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,,7.12E+11,,3
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Blue,Furniture,Chairs,24-01-2017,,"[{""dateSeen"":[""2017-01-24T20:53:03Z""],""name"":""Wholesale Costume and Party Supplies""},{""dateSeen"":[""2017-01-24T20:53:03Z""],""name"":""Walmart.com""},{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""M3th1cal - Ebay.com""},{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""Anytimecostumeanytimecostume - Ebay.com""},{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""Totallycostumes - Ebay.com""},{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""Costume_supercentercostume_supercenter - Ebay.com""},{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""Purecostumes - Ebay.com""}]",Eldon 200 Class Desk Accessories,,71765001984,,0
FUR-CH-10003061,"Global Leather Task Chair, Black",Blue,Furniture,Chairs,22-01-2017,,"[{""dateSeen"":[""2017-01-22T06:22:11Z""],""name"":""Shoebuy.com""}]",3M Hangers With Command Adhesive,,33977171008,,4
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Pink,Furniture,Chairs,07-11-2016,Skechers,"[{""dateSeen"":[""2016-11-07T00:00:03Z""],""name"":""Greater Golf Express""}]",Hon Racetrack Conference Tables,,8.89E+11,,0
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Black,Furniture,Chairs,29-03-2016,,,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",,,,5
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Blue,Furniture,Chairs,15-03-2016,,,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",,,,2
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Blue,Furniture,Chairs,29-03-2016,,"[{""dateSeen"":[""2016-03-28T00:00:00Z""],""name"":""Attiquities - Ebay.com""}]","Bush Andora Bookcase, Maple/Graphite Gray Finish",,7.42E+11,,0
FUR-CH-10003396,Global Deluxe Steno Chair,Blue,Furniture,Chairs,16-01-2017,Co-operative Feed Dealers Inc.,"[{""dateSeen"":[""2017-01-16T19:27:01Z""],""name"":""Feetpeople Llc.""},{""dateSeen"":[""2017-01-16T19:27:01Z""],""name"":""H & H Outdoor Outfitter & Sport Shop, Inc""}]",Luxo Professional Magnifying Clamp-On Fluorescent Lamps,,96506820495,,0
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Black,Furniture,Chairs,24-01-2017,Franco Sarto,"[{""dateSeen"":[""2017-01-24T18:52:42Z""],""name"":""Shoefabs""}]","Eldon 200 Class Desk Accessories, Burgundy",8,17117796146,,0
FUR-CH-10003606,SAFCO Folding Chair Trolley,Pink,Furniture,Chairs,07-04-2016,,"[{""dateSeen"":[""2016-04-06T00:00:00Z""],""name"":""Bauerjack1234bauerjack1234 - Ebay.com""}]","Tenex ""The Solids"" Textured Chair Mats",10,8.88E+11,,6
