slno,order_id,payment_sequential,payment_type,payment_installments,payment_value
111,CA-2017-163139,1,credit_card,4,-198.57
112,US-2017-155299,1,credit_card,8,-195.12
113,US-2014-106992,1,credit_card,10,-152.16
114,CA-2016-125318,1,credit_card,1,-273.66
115,CA-2015-155040,1,credit_card,10,-107.83
116,CA-2016-111010,1,credit_card,1,-223.68
117,US-2017-145366,1,credit_card,6,-106.38
118,CA-2017-163979,1,credit_card,1,-167.48
119,CA-2015-155334,1,credit_card,1,-549.14
120,CA-2017-118136,1,debit_card,1,-129.14
121,CA-2017-132976,1,credit_card,1,-142.02
122,US-2015-161991,1,credit_card,6,-153.2
123,CA-2015-130890,1,credit_card,4,-245.68
124,CA-2015-130883,1,credit_card,1,-114.18
125,CA-2016-112697,1,credit_card,8,-278
126,CA-2014-111451,1,credit_card,2,-256.66
127,CA-2016-142545,1,credit_card,2,-138.72
128,US-2017-152380,1,credit_card,8,-179.22
129,CA-2015-144253,1,credit_card,7,-193
130,CA-2014-130960,1,credit_card,4,-117.85
131,CA-2017-126774,1,credit_card,2,-133.46
132,CA-2016-142902,1,credit_card,1,-115.05
133,CA-2014-120887,1,credit_card,1,-117.94
134,CA-2014-167850,1,credit_card,10,-221.69
135,CA-2014-164259,1,credit_card,3,-207.54
136,CA-2014-164973,1,credit_card,1,-169.83
137,CA-2014-156601,1,credit_card,5,-105.38
138,CA-2016-162138,1,credit_card,1,-231.27
139,CA-2017-153339,1,credit_card,5,-215.14
140,US-2016-141544,1,credit_card,1,-175.9
141,US-2016-150147,1,debit_card,1,-525.79
142,CA-2015-137946,1,credit_card,8,-101.26
143,CA-2014-129924,1,credit_card,2,-169.7
144,CA-2015-128167,1,credit_card,3,-245
145,CA-2014-122336,1,credit_card,7,-235.79
146,CA-2017-169901,1,credit_card,1,-138.06
147,CA-2017-134306,1,credit_card,1,-107.06
148,CA-2016-129714,1,credit_card,8,-163.32
149,CA-2016-138520,2,voucher,1,-100
150,CA-2016-130001,1,credit_card,2,-204.17
151,CA-2017-155698,1,credit_card,4,-244.85
152,CA-2017-144904,1,credit_card,8,-186.85
153,CA-2014-123344,1,credit_card,2,-193.99
154,CA-2016-155516,1,credit_card,3,-223.93
155,CA-2017-104745,1,credit_card,5,-165.84
156,US-2016-134656,1,credit_card,3,-236.55
157,US-2017-134481,1,credit_card,3,-369.32
158,CA-2015-130792,1,credit_card,1,-123.51
159,CA-2016-134775,1,credit_card,1,-133.03
160,CA-2015-125395,1,credit_card,6,-447.62
161,US-2015-168935,1,credit_card,2,-152.38
162,CA-2014-115973,1,credit_card,8,-189.97
163,CA-2017-101798,1,credit_card,1,-216.75
164,US-2014-135972,1,credit_card,10,-264.54
165,US-2014-134971,1,credit_card,10,-456.31
166,CA-2017-102946,1,debit_card,1,-251.91
167,CA-2017-165603,1,credit_card,2,-126.26
168,CA-2015-122259,1,credit_card,5,-298.18
169,CA-2016-108987,1,credit_card,10,-136.4
170,CA-2014-113166,1,credit_card,1,-111.32
171,CA-2014-155208,1,credit_card,1,-113.47
172,CA-2017-117933,1,credit_card,4,-142.85
173,CA-2017-117457,1,credit_card,4,-352.76
174,CA-2017-142636,1,credit_card,3,-162.52
175,CA-2017-122105,1,credit_card,2,-143.12
176,CA-2016-148796,1,credit_card,10,-285.74
177,CA-2017-154816,1,credit_card,2,-111.32
178,CA-2017-110478,1,credit_card,2,-139.15
179,CA-2014-142048,1,credit_card,2,-112.42
180,CA-2017-125388,1,credit_card,4,-134.23
181,CA-2017-155705,1,credit_card,4,-148.16
182,CA-2017-149160,1,credit_card,6,-131
183,CA-2014-101476,1,credit_card,2,-205.29
184,CA-2017-152275,1,credit_card,8,-440.16
185,US-2016-123750,1,credit_card,3,-187.43
186,CA-2016-127369,1,credit_card,2,-132.4
187,US-2014-150574,1,credit_card,3,-153.27
188,CA-2016-147375,1,credit_card,10,-190.09
189,CA-2017-130043,1,credit_card,2,-188.6
190,CA-2017-157252,1,credit_card,10,-549.58
191,CA-2016-115756,1,credit_card,2,-112.34
192,CA-2016-166674,1,credit_card,5,-104.28
193,CA-2017-147277,1,credit_card,5,-216.29
194,CA-2016-100153,1,credit_card,1,-250.84
195,US-2014-110674,1,credit_card,1,-166.72
196,US-2016-157945,1,credit_card,5,-275.56
197,CA-2015-109638,1,voucher,1,-166.46
198,CA-2016-109869,1,credit_card,6,-184
199,CA-2017-154907,1,credit_card,4,-341.02
200,US-2016-100419,1,credit_card,5,-248.36
201,CA-2015-154144,1,credit_card,2,-171.44
202,CA-2014-144666,1,credit_card,5,-375.52
203,CA-2016-103891,1,credit_card,3,-252
204,CA-2016-152632,1,credit_card,1,-401.45
205,CA-2016-100790,1,credit_card,2,-136.37
206,CA-2014-134677,1,credit_card,3,-112.44
207,CA-2014-127691,1,credit_card,3,-153.22
208,CA-2017-140963,1,credit_card,7,-149.31
209,CA-2014-154627,1,credit_card,3,-194.79
210,CA-2014-133753,1,credit_card,7,-390.32
211,CA-2014-113362,1,credit_card,1,-132.95
212,CA-2016-169166,1,credit_card,10,-226.22
213,US-2016-120929,1,credit_card,2,-194.53
214,CA-2015-134782,1,credit_card,5,-290.74
215,CA-2016-126158,1,credit_card,2,-123.85
216,US-2016-105578,1,credit_card,10,-152.83
217,CA-2017-134978,1,credit_card,1,-306.4
218,CA-2015-145352,1,credit_card,2,-123.39
219,CA-2017-135307,1,credit_card,6,-338.74
220,CA-2016-106341,1,credit_card,2,-135.3
221,CA-2017-127432,1,credit_card,4,-228.62
222,CA-2015-157812,1,credit_card,10,-323.34
223,CA-2017-145142,1,credit_card,1,-190.67
224,US-2016-139486,1,credit_card,2,-123.41
225,CA-2015-158792,1,credit_card,3,-317.34
226,CA-2017-113558,1,credit_card,2,-105.77
227,US-2015-138303,1,credit_card,8,-591.88
228,CA-2015-102848,1,credit_card,2,-168.06
229,US-2017-129441,1,credit_card,5,-155.31
230,CA-2016-168753,1,credit_card,5,-107.78
231,CA-2016-126613,1,credit_card,1,-114.09
232,US-2017-122637,1,credit_card,3,-183.4
233,CA-2015-147851,1,credit_card,8,-408.97
234,CA-2014-140795,1,credit_card,1,-144.99
235,CA-2016-136924,1,credit_card,1,-152.88
236,US-2015-120161,1,credit_card,3,-528.8
237,CA-2014-103849,1,credit_card,8,-215.14
238,CA-2017-162929,1,debit_card,1,-135.82
239,CA-2015-113173,1,credit_card,3,-339.56
240,CA-2017-112774,1,credit_card,10,-132.96
241,CA-2017-101945,1,credit_card,4,-173.23
242,CA-2017-100650,1,credit_card,1,-123.45
243,CA-2014-155852,1,credit_card,2,-210.9
244,CA-2016-113243,1,credit_card,2,-307.5
245,CA-2017-118731,1,credit_card,2,-109.39
246,CA-2014-145576,1,credit_card,2,-105.3
247,CA-2015-130736,1,credit_card,1,-115.35
248,CA-2017-137099,1,credit_card,3,-131.46
249,CA-2017-156951,1,credit_card,2,-103.72
250,CA-2017-164826,1,credit_card,8,-215.14
251,CA-2016-127250,1,credit_card,1,-173.97
252,CA-2015-149713,1,credit_card,1,-151.55
253,CA-2015-132906,1,credit_card,6,-176.2
254,CA-2017-145233,1,credit_card,2,-140.53
255,CA-2015-128139,1,credit_card,10,-267.48
256,US-2016-156986,1,credit_card,1,-137.6
257,CA-2014-135405,1,credit_card,8,-115.35
258,CA-2014-131450,1,credit_card,2,-132.69
259,CA-2016-120180,1,credit_card,1,-183.03
260,CA-2014-149958,1,credit_card,10,-158.08
261,US-2014-105767,1,credit_card,2,-108.76
262,CA-2016-161816,1,debit_card,1,-192.32
263,CA-2016-121223,1,credit_card,1,-155.77
264,CA-2017-138611,1,credit_card,3,-214.77
265,CA-2017-117947,1,credit_card,1,-165.29
266,US-2014-111171,1,credit_card,2,-143.92
267,CA-2015-138009,1,credit_card,1,-106.37
268,CA-2017-153787,1,credit_card,3,-186.94
269,CA-2017-133431,1,credit_card,2,-106.06
270,US-2016-135720,1,credit_card,1,-108.63
271,CA-2017-144694,1,credit_card,4,-232.29
272,CA-2015-168004,1,credit_card,1,-127.95
273,US-2016-123470,1,credit_card,4,-105.28
274,CA-2016-115917,1,credit_card,8,-323.68
275,CA-2016-147067,1,credit_card,8,-383.03
276,CA-2017-167913,1,credit_card,9,-190.12
277,CA-2017-106103,1,credit_card,6,-140.91
278,US-2017-127719,1,credit_card,5,-153.22
279,CA-2017-126221,1,,1,-227.62
280,CA-2016-103947,1,credit_card,2,-478.46
281,CA-2016-160745,1,credit_card,5,-136.37
282,CA-2016-132661,1,credit_card,2,-131.95
283,CA-2017-140844,1,credit_card,8,-340.08
284,US-2016-156097,1,credit_card,17,-175.16
285,CA-2015-146563,1,credit_card,2,-118.99
286,CA-2016-123666,1,credit_card,1,-123.52
287,CA-2016-143308,1,credit_card,3,-234.08
288,CA-2014-156314,1,credit_card,3,-254.96
289,US-2017-106663,1,credit_card,4,-352.05
290,CA-2017-111178,1,credit_card,10,-542.93
291,CA-2017-130351,1,credit_card,4,-242
292,US-2017-119438,1,credit_card,3,-108.2
293,CA-2016-164511,1,credit_card,5,-128.95
294,US-2017-168116,1,credit_card,4,-234.84
295,CA-2014-157784,1,credit_card,8,-184.68
296,CA-2017-161480,1,credit_card,7,-167.95
297,US-2014-117135,1,credit_card,6,140.04
298,CA-2015-131534,1,credit_card,3,116.36
299,CA-2015-119291,1,credit_card,1,116.24
300,CA-2017-114552,1,credit_card,2,151.37
301,CA-2016-163755,1,credit_card,8,689.93
302,CA-2015-142027,1,credit_card,10,100.66
303,CA-2014-138527,1,credit_card,10,454.76
304,CA-2014-112158,1,credit_card,4,199
305,CA-2014-113887,1,credit_card,4,116.94
306,CA-2017-146136,1,credit_card,3,190.48
307,US-2017-100048,1,credit_card,8,209.06
308,CA-2014-153150,1,credit_card,1,100.51
309,CA-2014-130092,1,credit_card,10,188.65
310,CA-2017-108910,1,credit_card,2,134.48
311,CA-2014-104472,1,credit_card,10,214.01
312,CA-2016-112942,1,credit_card,3,964.76
313,CA-2016-142335,1,credit_card,5,178.27
314,CA-2014-117429,1,credit_card,7,219.27
315,CA-2016-114713,1,credit_card,3,111.92
316,CA-2017-144113,1,credit_card,8,216.04
317,US-2016-150861,1,credit_card,3,111.57
318,CA-2017-131954,1,credit_card,5,201.04
319,CA-2014-132500,1,credit_card,2,162.79
320,CA-2014-112326,1,credit_card,3,197.35
321,US-2016-146710,1,credit_card,10,156.6
322,CA-2014-124429,1,credit_card,2,143.25
323,CA-2016-150889,1,credit_card,3,215.5
324,CA-2017-126074,1,credit_card,7,691.49
325,CA-2016-110499,1,credit_card,3,265.68
326,CA-2015-135272,1,credit_card,5,108.26
327,CA-2014-106803,1,credit_card,2,114.85
328,CA-2017-117240,1,credit_card,1,181.6
329,CA-2017-133333,1,credit_card,3,155.14
330,CA-2015-112319,1,credit_card,1,330.82
331,CA-2017-126046,1,credit_card,3,454.66
332,CA-2015-114923,1,credit_card,5,376.57
333,CA-2014-162775,1,credit_card,3,183.32
334,CA-2014-106810,1,credit_card,2,346.66
335,CA-2016-157245,1,credit_card,1,108.41
336,CA-2017-104220,1,credit_card,10,145.01
337,CA-2014-165974,1,credit_card,4,144.94
338,CA-2015-144267,1,credit_card,2,213.59
339,US-2015-157014,1,credit_card,8,177.9
340,CA-2015-154921,1,credit_card,1,131.95
341,CA-2017-129567,1,credit_card,3,105.24
342,CA-2015-154620,1,credit_card,8,124.42
343,CA-2015-115938,1,credit_card,8,166.35
344,CA-2016-105256,1,credit_card,2,177.68
345,CA-2014-156433,1,credit_card,3,182.64
346,CA-2017-151428,1,credit_card,1,121.82
347,CA-2015-124653,1,credit_card,5,240.13
348,CA-2015-101910,1,credit_card,4,363.46
349,CA-2017-105809,1,credit_card,10,273.24
350,CA-2016-136133,1,credit_card,2,147.09
351,CA-2016-115504,1,credit_card,3,205.68
352,CA-2017-135783,1,credit_card,6,145.5
353,CA-2014-134313,1,credit_card,2,118.83
354,CA-2015-140921,1,credit_card,5,132.41
355,CA-2014-151995,1,credit_card,4,194.48
356,CA-2017-143686,1,credit_card,11,117.14
357,CA-2015-106565,1,credit_card,1,109.92
358,CA-2016-149370,1,credit_card,8,147.36
359,CA-2014-140858,1,credit_card,10,106.11
360,CA-2017-101434,1,credit_card,4,253.35
361,US-2014-102071,1,credit_card,10,147.64
362,CA-2017-126956,1,credit_card,1,106.37
363,CA-2017-129462,1,credit_card,3,193.84
364,CA-2016-165316,1,credit_card,3,196.99
365,US-2014-115987,1,credit_card,10,1710.18
366,US-2017-156083,1,credit_card,5,109.26
367,US-2016-137547,1,credit_card,10,827.32
368,CA-2015-100454,1,credit_card,2,127.98
369,CA-2016-161669,1,credit_card,3,343.07
370,CA-2015-114300,1,credit_card,1,206.74
371,CA-2017-107503,1,credit_card,5,133.81
372,CA-2014-107755,1,credit_card,5,132.58
373,CA-2016-152534,1,credit_card,3,640.89
374,CA-2016-113747,1,credit_card,10,308.81
375,CA-2016-123274,1,credit_card,5,202.98
376,CA-2014-125612,1,credit_card,8,102.7
377,CA-2017-161984,1,credit_card,8,319.88
378,CA-2014-133851,1,credit_card,3,176.63
379,CA-2016-134474,1,credit_card,6,113.38
380,CA-2014-149020,1,credit_card,2,112.81
381,CA-2016-134362,1,credit_card,1,111.03
382,CA-2014-136742,1,credit_card,2,190.75
383,CA-2016-158099,1,credit_card,5,396.32
384,CA-2015-131128,1,,1,872.43
385,CA-2014-148488,1,credit_card,6,1101.51
386,CA-2017-114636,1,credit_card,4,152.58
387,CA-2016-116736,1,credit_card,3,131.65
388,US-2014-158638,1,credit_card,3,333.76
389,CA-2017-111689,1,credit_card,2,109.75
390,CA-2015-129098,1,credit_card,2,270.23
391,US-2017-123463,1,credit_card,2,143.36
392,CA-2016-165148,1,credit_card,8,240.35
393,CA-2014-134061,1,credit_card,2,126.9
394,CA-2015-143602,1,credit_card,3,115.61
395,CA-2017-115364,1,credit_card,4,575.69
396,CA-2017-150707,1,credit_card,3,163.08
397,CA-2014-104976,1,credit_card,6,319.11
398,CA-2017-132934,1,credit_card,2,200.52
399,CA-2017-133256,1,credit_card,2,166.71
400,CA-2016-105494,1,credit_card,2,155.14
401,CA-2016-140634,1,credit_card,4,230.84
402,CA-2014-144407,1,credit_card,2,147.78
403,CA-2017-160983,1,credit_card,2,117.79
404,US-2016-114622,1,credit_card,3,166.35
405,CA-2017-150959,1,credit_card,10,104.9
406,CA-2017-132353,1,credit_card,5,169.23
407,CA-2016-130477,1,credit_card,8,210.01
408,CA-2017-143259,1,credit_card,8,195.17
409,CA-2017-137596,1,credit_card,3,185.34
410,CA-2015-133627,1,credit_card,12,430.67
411,CA-2017-102519,1,credit_card,4,192.85
412,US-2014-141215,1,credit_card,4,170.19
413,CA-2016-165218,1,credit_card,8,692.65
414,CA-2014-138296,1,credit_card,10,511.21
415,CA-2015-111164,1,credit_card,5,186.1
416,CA-2016-149797,1,credit_card,2,187.86
417,CA-2014-132962,1,credit_card,8,296.81
418,CA-2015-115091,1,credit_card,10,891.14
419,CA-2017-144932,1,credit_card,10,329.86
420,CA-2017-114216,1,credit_card,2,152.82
421,CA-2016-140081,1,credit_card,8,186.43
422,US-2017-111745,1,credit_card,3,135.36
423,CA-2015-148250,1,credit_card,2,643.66
424,CA-2016-105760,1,credit_card,2,109.35
425,CA-2016-142958,1,credit_card,2,116.94
426,CA-2015-120880,1,credit_card,2,127.92
427,US-2015-140200,1,credit_card,8,111.97
428,US-2017-110576,1,credit_card,2,114.33
429,CA-2017-131156,1,credit_card,1,458.58
430,CA-2017-136539,1,credit_card,5,143.12
431,CA-2017-119305,1,credit_card,3,294.8
432,CA-2017-102414,1,credit_card,1,150.96
433,CA-2015-112571,1,credit_card,4,106.39
434,CA-2017-152142,1,credit_card,3,292.63
435,CA-2015-160059,1,credit_card,5,144.86
436,CA-2016-120859,1,,1,120.81
437,CA-2014-127488,1,credit_card,1,108.21
438,CA-2017-135279,1,credit_card,4,248.76
439,CA-2014-115791,1,credit_card,1,378.83
440,US-2017-103247,1,credit_card,10,211.5
441,US-2017-100209,1,credit_card,3,147.81
442,CA-2017-159366,1,credit_card,10,229.34
443,CA-2016-145499,1,credit_card,1,197.8
444,CA-2015-157035,1,credit_card,3,175.33
445,CA-2016-144939,1,credit_card,7,399.42
446,CA-2014-163419,1,,1,817.08
447,CA-2017-100314,1,credit_card,3,102.66
448,CA-2015-146829,1,credit_card,10,663.25
449,CA-2017-167899,1,,1,114.33
450,CA-2015-153549,1,credit_card,2,119.74
451,CA-2016-110023,1,credit_card,5,128.77
452,CA-2016-105585,1,credit_card,8,321.78
453,CA-2014-117639,1,credit_card,8,468
454,CA-2015-162537,1,credit_card,4,218.47
455,CA-2016-155488,1,credit_card,1,383.99
456,CA-2015-124891,1,credit_card,3,121.09
457,CA-2015-126445,1,credit_card,3,136.08
458,CA-2015-111199,1,credit_card,3,162.42
459,CA-2015-105312,1,credit_card,8,114.16
460,US-2017-106705,1,credit_card,1,102.12
461,CA-2017-135034,1,credit_card,1,135.68
462,CA-2014-158540,1,credit_card,9,112.08
463,CA-2017-118437,1,credit_card,3,188.06
464,US-2015-126214,1,credit_card,1,279.5
465,CA-2015-133025,1,credit_card,1,258.9
466,CA-2015-108665,1,credit_card,2,119.57
467,CA-2015-124450,1,credit_card,2,117.77
468,CA-2015-167269,1,,1,1490.53
469,CA-2017-106964,1,credit_card,8,239.46
470,CA-2016-126529,1,,1,116.94
471,CA-2014-163552,1,credit_card,5,111.02
472,CA-2016-109820,1,credit_card,3,217.84
473,CA-2016-113061,1,credit_card,2,173.27
474,CA-2015-127418,1,credit_card,2,194.37
475,CA-2016-127670,1,credit_card,1,147.16
476,CA-2016-102981,1,credit_card,5,116.01
477,CA-2017-115651,1,credit_card,3,313.5
478,CA-2017-152702,1,credit_card,3,186.27
479,CA-2016-169103,1,credit_card,10,147.34
480,CA-2014-139192,1,credit_card,10,227.27
481,US-2015-153500,1,credit_card,1,115.32
482,CA-2015-110667,1,credit_card,4,250.42
483,CA-2017-167150,1,credit_card,6,110.02
484,CA-2016-105284,1,credit_card,2,129.1
485,US-2015-125374,1,credit_card,2,128.25
486,CA-2015-161263,1,credit_card,3,205.92
487,US-2017-139955,1,credit_card,6,408.9
488,US-2015-150161,1,credit_card,5,102.03
489,CA-2015-144652,1,credit_card,1,135.97
490,CA-2016-152814,1,credit_card,1,146.43
491,CA-2017-106943,1,credit_card,3,186.84
492,CA-2016-134348,1,credit_card,1,120.48
493,CA-2016-161781,2,credit_card,1,133
494,CA-2017-132521,1,credit_card,7,1005.73
495,CA-2015-110016,1,credit_card,10,819.32
496,US-2016-143819,1,credit_card,8,134.13
497,CA-2016-167584,1,credit_card,3,165.25
498,CA-2016-166163,1,credit_card,2,139.52
499,CA-2017-158407,1,credit_card,6,159.69
500,CA-2015-143490,1,credit_card,1,137.04
501,CA-2015-165085,1,credit_card,2,245.49
502,CA-2017-160423,1,credit_card,2,221.35
503,CA-2014-159338,1,credit_card,3,169.87
504,CA-2016-107216,1,credit_card,2,178.99
505,CA-2016-112340,1,credit_card,1,148.22
506,CA-2017-140585,1,credit_card,9,200.8
507,CA-2016-144855,1,credit_card,9,136.13
508,CA-2015-142755,1,credit_card,4,147.15
509,US-2014-147627,1,credit_card,5,141.7
510,CA-2015-105970,1,credit_card,6,137.99
511,CA-2016-112102,1,credit_card,2,577.6
512,US-2016-114776,1,credit_card,5,143.49
513,US-2016-134908,1,credit_card,1,104.75
514,US-2016-148803,1,credit_card,3,167.86
515,CA-2016-152170,1,credit_card,2,172.14
516,CA-2014-146969,1,credit_card,4,210.82
517,CA-2015-112452,1,credit_card,10,556.01
518,CA-2015-113971,1,credit_card,24,252.09
519,CA-2017-160395,1,credit_card,8,120.97
520,CA-2014-136567,1,credit_card,12,135.92
521,CA-2016-149314,1,credit_card,8,718.99
522,CA-2017-147039,1,credit_card,6,194.01
523,CA-2014-126522,1,credit_card,10,579.93
524,CA-2014-127964,1,credit_card,5,188.34
525,CA-2014-117709,1,credit_card,6,319.25
526,CA-2015-125416,1,credit_card,1,138.6
527,CA-2017-145226,1,credit_card,2,224.32
528,US-2014-100279,1,credit_card,5,149.19
529,CA-2014-158064,1,credit_card,2,220.27
530,US-2015-104430,1,credit_card,5,329.47
531,CA-2015-132080,1,credit_card,8,1479.51
532,CA-2016-161207,1,credit_card,1,178.58
533,CA-2014-120243,1,credit_card,8,145.88
534,CA-2016-113621,1,credit_card,6,157.79
535,CA-2016-168081,1,credit_card,10,123.25
536,CA-2014-128146,1,credit_card,10,139.17
537,CA-2017-138779,1,credit_card,3,152.7
538,CA-2014-127131,1,,1,215.5
539,CA-2017-117212,1,credit_card,1,355.01
540,US-2015-130519,1,credit_card,4,138.96
541,CA-2016-130946,1,,1,444.07
542,CA-2016-114727,1,credit_card,8,219.19
543,CA-2017-133235,1,credit_card,10,211.71
544,CA-2016-137050,1,credit_card,1,128.48
545,US-2017-118087,1,credit_card,4,154.14
546,CA-2014-110184,1,credit_card,2,107.78
547,CA-2016-126004,1,credit_card,3,153.9
548,CA-2017-100013,1,credit_card,6,148.73
549,CA-2015-132570,1,credit_card,2,171.53
550,CA-2016-153682,1,credit_card,8,442.81
551,CA-2016-144344,1,credit_card,4,357.03
552,CA-2014-127012,1,credit_card,1,165.66
553,CA-2016-128727,1,credit_card,1,147.15
554,US-2016-162859,1,credit_card,1,107.07
555,CA-2017-133641,1,credit_card,4,213.83
556,CA-2014-168494,1,credit_card,2,102.26
557,CA-2017-115602,1,credit_card,2,313.67
558,CA-2015-154956,1,credit_card,3,159.7
559,CA-2017-144638,1,credit_card,6,169.44
560,US-2016-168620,2,credit_card,10,116.49
561,CA-2017-117079,1,credit_card,8,175.63
562,US-2016-144393,1,credit_card,2,107.55
563,CA-2017-105053,1,credit_card,1,931.53
564,CA-2016-155992,1,credit_card,8,218.27
565,CA-2017-110380,1,credit_card,4,113.37
566,US-2014-167738,1,credit_card,1,163.81
567,CA-2017-121412,1,credit_card,17,177.25
568,CA-2017-100426,1,credit_card,3,127.81
569,US-2016-103646,1,,1,222.65
570,CA-2016-119186,1,credit_card,8,245.27
571,CA-2016-148698,1,credit_card,2,158.14
572,CA-2014-163293,1,credit_card,10,236.48
573,CA-2016-160815,1,credit_card,10,141.56
574,CA-2017-122154,1,credit_card,5,113.91
575,US-2015-149692,1,credit_card,3,130.46
576,CA-2016-119445,1,credit_card,10,108.84
577,CA-2015-124268,1,credit_card,3,117.85
578,CA-2016-154711,1,credit_card,1,112.39
579,CA-2016-163384,1,credit_card,2,264.31
580,CA-2015-101707,1,credit_card,1,135.49
581,CA-2015-138898,1,credit_card,1,137.99
