id,order_id,product_id,product_name,sales_amt,qty,discount,profit_amt
252,CA-2016-145625,OFF-FA-10000304,Advantus Push Pins,15.26,7,0,6.2566
6818,CA-2014-144414,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
1645,CA-2015-111829,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6,0,52.14
28,US-2015-150630,OFF-PA-10001569,Xerox 232,32.4,5,0,15.552
4094,CA-2015-102491,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,5,0.1,7.098
263,US-2014-106992,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
978,CA-2017-159366,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
8750,US-2015-163825,OFF-BI-10001460,Plastic Binding Combs,48.48,4,0.2,16.362
1455,CA-2016-133711,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,1,0,0.84
9661,CA-2016-160717,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
5563,CA-2017-133263,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
516,CA-2017-127432,OFF-PA-10003892,Xerox 1943,146.73,3,0,68.9631
8103,CA-2015-149846,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
8313,US-2017-105935,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
3071,CA-2014-119375,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
6100,CA-2017-100111,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
6869,US-2016-126452,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
4620,CA-2017-145219,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
1792,CA-2014-120474,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
8237,CA-2017-102204,FUR-CH-10000513,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
9413,CA-2015-164777,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
3056,US-2015-100377,OFF-ST-10004123,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
3984,CA-2016-135265,OFF-BI-10004182,Economy Binders,1.248,3,0.8,-1.9344
9930,CA-2016-129630,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
5127,CA-2014-160766,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
5711,US-2015-160857,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
6210,CA-2017-119809,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
488,CA-2014-154627,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
995,CA-2014-117639,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
2849,CA-2017-157854,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
8469,US-2016-164196,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
8893,CA-2015-111038,OFF-ST-10003656,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
2568,CA-2017-123967,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
7580,CA-2015-123113,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
4129,CA-2014-127299,OFF-LA-10000134,Avery 511,6.16,2,0,2.9568
9057,CA-2015-160227,OFF-ST-10003442,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
3987,CA-2017-112333,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
1806,US-2016-116729,TEC-PH-10004093,Panasonic Kx-TS550,73.584,2,0.2,8.2782
7475,CA-2014-167199,OFF-PA-10000304,Xerox 1995,6.48,1,0,3.1104
6885,CA-2015-120677,OFF-PA-10003177,Xerox 1999,12.96,2,0,6.2208
8272,CA-2016-169670,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
3012,CA-2017-134845,OFF-BI-10002852,Ibico Standard Transparent Covers,32.96,2,0,16.1504
6011,CA-2015-135580,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
7281,CA-2015-162782,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
264,US-2014-106992,OFF-BI-10001721,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
7938,CA-2017-166093,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
3444,CA-2017-168858,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
5531,CA-2017-160885,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
1439,CA-2015-139731,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
3581,CA-2016-104157,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
9949,CA-2017-121559,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
4866,CA-2017-122490,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
6902,US-2017-135013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
7174,US-2017-141677,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
2625,CA-2017-127180,TEC-PH-10002844,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
2419,CA-2016-107202,OFF-AR-10000390,Newell Chalk Holder,3.304,1,0.2,1.0738
400,CA-2016-108987,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
3570,CA-2017-168109,FUR-FU-10001934,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
5991,US-2017-163300,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
5627,CA-2014-126683,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
5007,CA-2015-169796,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
5321,US-2017-162558,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
1002,CA-2015-124891,OFF-PA-10004965,Xerox 1921,23.976,3,0.2,7.4925
6117,US-2016-113677,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
5301,CA-2016-113831,FUR-TA-10001768,Hon Racetrack Conference Tables,787.53,3,0,165.3813
6102,CA-2017-100111,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
4882,CA-2017-143567,FUR-FU-10002157,Artistic Insta-Plaque,47.04,3,0,18.3456
7488,US-2015-134558,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
1156,CA-2014-136567,OFF-ST-10000777,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
8700,CA-2017-119284,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
9775,CA-2014-169019,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
8425,CA-2017-150091,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
6535,CA-2014-128209,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
8681,CA-2016-143805,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
6468,CA-2016-163804,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
950,US-2017-110576,FUR-CH-10001146,"Global Task Chair, Black",81.424,2,0.2,-9.1602
3629,CA-2014-169726,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
3044,CA-2017-149559,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
8169,CA-2017-107174,OFF-PA-10002377,Xerox 1916,78.304,2,0.2,29.364
9616,CA-2014-128524,OFF-FA-10002780,Staples,21.456,9,0.2,6.9732
3151,CA-2015-147830,OFF-PA-10001804,Xerox 195,20.04,3,0,9.6192
9491,CA-2017-111738,OFF-PA-10001736,Xerox 1880,35.44,1,0,16.6568
5919,US-2015-126977,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
6880,CA-2015-137113,OFF-FA-10002988,Ideal Clamps,4.02,2,0,1.9698
3771,CA-2016-155530,OFF-BI-10004781,GBC Wire Binding Strips,76.176,3,0.2,26.6616
8270,CA-2017-121790,OFF-SU-10001218,Fiskars Softgrip Scissors,65.88,6,0,18.4464
245,CA-2014-131926,FUR-FU-10001706,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
5757,CA-2014-163748,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
6528,CA-2016-157791,OFF-AR-10000940,Newell 343,8.82,3,0,2.3814
807,CA-2014-134313,OFF-EN-10004030,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
1445,CA-2016-133725,OFF-PA-10004327,Xerox 1911,143.7,3,0,68.976
2661,CA-2017-123372,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
5302,CA-2016-113831,OFF-ST-10003656,Safco Industrial Wire Shelving,671.93,7,0,20.1579
150,CA-2016-114489,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
1220,US-2017-118087,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015
1702,CA-2015-114069,TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
911,CA-2017-137596,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
8891,CA-2016-147256,OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
9948,CA-2017-121559,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
2768,CA-2017-167752,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
2710,CA-2015-121797,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
3299,CA-2017-136308,OFF-PA-10002254,Xerox 1883,105.52,4,0,48.5392
6882,CA-2015-137113,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
4992,US-2017-122714,OFF-AR-10001547,Newell 311,6.63,3,0,1.7901
7510,US-2017-161935,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
2549,US-2015-128090,OFF-LA-10002475,Avery 519,14.62,2,0,6.8714
7133,CA-2017-141439,TEC-PH-10004536,Avaya 5420 Digital phone,944.93,7,0,236.2325
8994,CA-2017-159100,OFF-PA-10002751,Xerox 1920,5.98,1,0,2.691
7847,CA-2015-125976,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
7330,US-2014-131275,OFF-EN-10001990,Staple envelope,28.4,5,0,13.348
1434,CA-2014-120768,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
4429,CA-2017-119452,OFF-AR-10004441,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
2535,US-2017-117723,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
4056,CA-2014-122931,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
5186,CA-2015-134719,FUR-CH-10004287,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
3152,CA-2015-147830,OFF-AR-10002656,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
8800,CA-2014-116666,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
393,US-2014-135972,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
3385,CA-2015-130659,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418
1897,CA-2017-141789,OFF-PA-10001144,Xerox 1913,110.96,2,0,53.2608
4861,CA-2016-101546,FUR-CH-10003817,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
9034,CA-2014-152268,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12
5067,CA-2017-142090,OFF-LA-10003148,Avery 51,20.16,4,0.2,6.552
7766,US-2017-118941,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
6632,CA-2016-105081,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
168,CA-2014-139892,OFF-SU-10002189,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715
6296,CA-2014-141313,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0,1.4104
1757,CA-2015-135622,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612
11,CA-2014-115812,TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395
3296,CA-2017-113418,TEC-PH-10003273,AT&T TR1909W,503.96,4,0,131.0296
1251,CA-2017-115602,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),149.95,5,0,41.986
1712,CA-2017-123491,TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,29,2,0,7.25
6176,CA-2015-158421,OFF-BI-10001890,Avery Poly Binder Pockets,7.16,2,0,3.4368
3571,CA-2017-168109,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984
7680,CA-2014-133592,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224
7115,US-2016-102239,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255
3892,US-2016-163881,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
8452,CA-2014-131387,TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,20.0928
9368,CA-2014-108147,OFF-PA-10000061,Xerox 205,51.84,8,0,24.8832
7998,US-2017-105998,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
1517,CA-2017-148446,OFF-AR-10003514,4009 Highlighters by Sanford,19.9,5,0,6.567
3589,CA-2017-158729,OFF-EN-10001509,Poly String Tie Envelopes,14.28,7,0,6.7116
722,CA-2016-142335,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038
6877,US-2016-121013,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,1.5876
5426,CA-2016-153598,OFF-ST-10001414,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276
8302,US-2017-167318,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586
9514,CA-2016-125220,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
5435,CA-2015-160171,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
6839,CA-2017-107517,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
2929,US-2017-120390,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925
3184,CA-2017-152912,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
2861,CA-2017-138975,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
9636,CA-2014-151330,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
7085,CA-2017-118724,OFF-ST-10000642,"Tennsco Lockers, Gray",83.92,4,0,5.8744
2392,US-2015-127040,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
1014,US-2015-126214,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
7899,CA-2017-128363,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
2021,CA-2016-168354,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
4209,CA-2014-145387,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,6.5
2857,CA-2016-128594,OFF-LA-10004544,Avery 505,23.68,2,0.2,8.88
5870,CA-2016-152247,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323
4640,CA-2016-102162,TEC-PH-10002844,Speck Products Candyshell Flip Case,62.982,3,0.4,-14.6958
4356,CA-2015-155600,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,1188,9,0.7,-950.4
9494,CA-2016-105207,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,4.4792
9404,CA-2016-105459,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0,26.0568
2057,CA-2017-120376,TEC-PH-10002563,Adtran 1202752G1,302.376,3,0.2,22.6782
2358,US-2014-148838,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148
3567,CA-2017-103877,OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,0.2,8.2302
9274,CA-2017-146983,OFF-BI-10002852,Ibico Standard Transparent Covers,19.776,4,0.7,-13.8432
4137,CA-2017-105914,FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.0848
1546,CA-2014-150245,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,0.7,-383.9904
7687,CA-2016-169838,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,0.2,2.7168
6851,US-2016-100461,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1,0,0.968
9149,US-2016-165505,FUR-TA-10003748,Bevis 36 x 72 Conference Tables,622.45,5,0,136.939
8454,CA-2016-125087,OFF-ST-10002485,Rogers Deluxe File Chest,21.98,1,0,0.2198
2354,CA-2015-111514,FUR-CH-10004860,Global Low Back Tilter Chair,161.568,2,0.2,-28.2744
7650,CA-2015-101889,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",389.696,8,0.2,43.8408
6114,CA-2016-124590,OFF-BI-10001679,GBC Instant Index System for Binding Systems,18.648,7,0.7,-12.432
2942,CA-2017-155880,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048
5311,CA-2017-131254,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,-248.2458
6559,CA-2015-166947,OFF-BI-10001679,GBC Instant Index System for Binding Systems,5.328,2,0.7,-3.552
